product,answer_option,label,review_len,Rn,Rp,Rs,Rc,Rd,Rsc
Accucheck,Fast and accurate delivery,0,4,0.23370936267562042,0.30000000000000004,0.6166666666666667,0.005194805194805195,1.0,0.0
Accucheck,Expected a longer expire date. Your Product Listings should mention the expire date too.,0,14,0.6734149066937973,-0.1,0.4,0.016883116883116882,1.0,0.0
Accucheck,I liked the prompt service,0,5,0.3197471256993269,0.6,0.8,0.006493506493506494,1.0,0.4215
Accucheck,Good product,0,2,0.54692500680622,0.7,0.6000000000000001,0.0025974025974025974,0.0,0.4404
Accucheck,I not needed,0,3,0.0,0.0,0.0,0.003896103896103896,1.0,0.0
Accucheck,Not received the product.,0,4,0.3819077804622399,0.0,0.0,0.005194805194805195,0.0,0.0
Accucheck,The chip is not given that I actually was looking,0,10,0.22535867042961052,0.0,0.1,0.012987012987012988,1.0,0.0
Accucheck,Damage in your accu chek active strip,0,7,0.7829960248634432,-0.13333333333333333,0.6,0.00909090909090909,1.0,-0.128
Accucheck,The reading is very accurate,1,5,0.5443568003833393,0.5200000000000001,0.8233333333333335,0.006493506493506494,0.0,0.0
Accucheck,I PREFER A STRIP THAT DRAW BLOOD .INSTEAD OF APPLYING DROP OFBLOOD AT AN APPROPRIATE SPOT IN THE STRIP,0,19,0.20572830895150146,0.5,0.5,0.023376623376623377,1.0,-0.2732
Accucheck,it was good service.,0,4,0.6109741189127563,0.7,0.6000000000000001,0.005194805194805195,1.0,0.4404
Accucheck,Reliable,0,1,0.0,0.0,0.0,0.0012987012987012987,0.0,0.0
Accucheck,It is a good product,1,5,0.54692500680622,0.7,0.6000000000000001,0.006493506493506494,1.0,0.4404
Accucheck,Good,0,1,0.0,0.7,0.6000000000000001,0.0012987012987012987,0.0,0.4404
Accucheck,Not used yet,0,3,0.0,0.0,0.0,0.003896103896103896,0.0,0.0
Accucheck,Good price with Comfortable expire date,0,6,0.3731119769495355,0.55,0.7000000000000001,0.007792207792207792,1.0,0.7351
Accucheck,I like the accuracy,1,4,0.6028771042025833,0.0,0.0,0.005194805194805195,1.0,0.3612
Accucheck,Easy ordering,0,2,0.47129458841172944,0.43333333333333335,0.8333333333333334,0.0025974025974025974,0.0,0.4404
Accucheck,Late delivery,0,2,0.3509579116438888,-0.3,0.6,0.0025974025974025974,1.0,0.0
Accucheck,It had only 7 months validity on delivery against one year normal validity Your webster is bad as it doesn indicate the expire before purchase and your executive says they canst send at least ten months validity strips as they are not aware of the same,0,46,1.0488971416449155,-0.13928571428571426,0.4416666666666666,0.05194805194805195,1.0,-0.5423
Accucheck,Strips not Working at all,1,5,0.40594245556295844,0.0,0.0,0.006493506493506494,0.0,0.0
Accucheck,Latest mfg date,0,3,0.6758247317548574,0.5,0.9,0.003896103896103896,0.0,0.0
Accucheck,The delivery was fast and good Reason for low rating is payment option on delivery (Card payment on delivery should also be included Thanks,0,24,1.1397168026489395,0.27499999999999997,0.42500000000000004,0.025974025974025976,1.0,0.5719
Accucheck,Timely delivery competitive rates ease of ordering,0,7,0.5108825472303735,0.0,0.0,0.00909090909090909,1.0,0.4939
Accucheck,On time,0,2,1.0,0.0,0.0,0.0025974025974025974,1.0,0.0
Accucheck,You have not given any discount on my order of insulin for which complaint has been lodged but you prefer not to reply Why to purchase from you. So many other sites are offering same discount,0,36,0.6147164733449655,0.018750000000000003,0.3,0.04285714285714286,1.0,-0.1531
Accucheck,dislike,0,1,1.0,0.0,0.0,0.0012987012987012987,0.0,-0.3818
Accucheck,year validity Good packing,0,4,0.8644092573261735,0.7,0.6000000000000001,0.005194805194805195,1.0,0.4404
Accucheck,Calibration takes time.,0,3,0.651135545120595,0.0,0.0,0.003896103896103896,1.0,0.0
Accucheck,Good quality with long shelf life,1,6,0.7059004499805522,0.32499999999999996,0.5,0.007792207792207792,0.0,0.4404
Accucheck,Dislike due to price too much higher,1,7,0.35157929247352043,0.0625,0.4375,0.00909090909090909,0.0,-0.3818
Accucheck,Nice product,0,2,0.4009564658679995,0.6,1.0,0.0025974025974025974,0.0,0.4215
Accucheck,Working fine,0,2,0.0,0.4166666666666667,0.5,0.0025974025974025974,0.0,0.2023
Accucheck,show E5,0,2,0.0,0.0,0.0,0.0025974025974025974,0.0,0.0
Accucheck,Wrongly ordered,0,2,0.0,-0.5,0.9,0.0025974025974025974,0.0,0.0
Accucheck,Item received fast,1,3,0.3894969155123706,0.2,0.6,0.003896103896103896,0.0,0.0
Accucheck,Meets requirement,0,2,0.44468437421516116,0.0,0.0,0.0025974025974025974,0.0,0.0
Accucheck,Timely delivery,0,2,0.45407830682424244,0.0,0.0,0.0025974025974025974,1.0,0.0
Accucheck,Timely delivery,0,2,0.45407830682424244,0.0,0.0,0.0025974025974025974,1.0,0.0
Accucheck,Good working,0,2,0.6564341913931498,0.7,0.6000000000000001,0.0025974025974025974,0.0,0.4404
Accucheck,The packing and on time delivery of the product,0,9,1.0,0.0,0.0,0.011688311688311689,1.0,0.0
Accucheck,Good product,0,2,0.54692500680622,0.7,0.6000000000000001,0.0025974025974025974,0.0,0.4404
Accucheck,Good service,0,2,0.6109741189127563,0.7,0.6000000000000001,0.0025974025974025974,1.0,0.4404
Accucheck,The time/days took to deliver is really bad,0,8,0.3748455533024654,-0.6999999999999998,0.6666666666666666,0.01038961038961039,1.0,-0.5849
Accucheck,EXCELLENT IN USE,1,3,0.0,1.0,1.0,0.003896103896103896,0.0,0.5719
Accucheck,Work is good but motivation chip missed,1,7,0.663616717727406,0.7,0.6000000000000001,0.00909090909090909,0.0,0.3071
Accucheck,Timely delivery,0,2,0.45407830682424244,0.0,0.0,0.0025974025974025974,1.0,0.0
Accucheck,Timely delivery,0,2,0.45407830682424244,0.0,0.0,0.0025974025974025974,1.0,0.0
Accucheck,Accurate Monitoring Device,1,3,0.36826366685890805,0.4000000000000001,0.6333333333333334,0.003896103896103896,0.0,0.0
Accucheck,Its ok,0,2,1.0,0.5,0.5,0.0025974025974025974,0.0,0.296
Accucheck,Customer service,0,2,1.0,0.0,0.0,0.0025974025974025974,1.0,0.0
Accucheck,It is good for testing the sugar liable in the body,1,11,0.443299803397197,0.3,0.55,0.012987012987012988,0.0,0.4404
Accucheck,ALL IS WELL . NOTHING TO DISLIKE,0,7,0.0,0.0,0.0,0.00909090909090909,1.0,0.6767
Accucheck,time of delivery,0,3,1.0,0.0,0.0,0.003896103896103896,1.0,0.0
Accucheck,I like very much,1,4,0.0,0.26,0.26,0.005194805194805195,1.0,0.3612
Accucheck,Packing should be of 25 pics.,0,6,1.0,0.0,0.0,0.007792207792207792,1.0,0.0
Accucheck,Nyc packing,0,2,0.37949960716639647,0.0,0.0,0.0025974025974025974,1.0,0.0
Accucheck,It is Genuine,0,3,0.0,0.4,0.5,0.003896103896103896,1.0,0.0
Accucheck,Good as assured,1,3,0.0,0.7,0.6000000000000001,0.003896103896103896,0.0,0.6597
Accucheck,"Only 40 strip inside,very bad experience",0,6,0.4558113568346627,-0.3499999999999999,0.8333333333333333,0.007792207792207792,0.0,-0.5423
Accucheck,Delivery time.. required fast delivery,0,5,0.7776837518050443,0.2,0.6,0.006493506493506494,1.0,0.0
Accucheck,Original product,0,2,0.36289775660535045,0.375,0.75,0.0025974025974025974,0.0,0.3182
Accucheck,Dislike,0,1,1.0,0.0,0.0,0.0012987012987012987,0.0,-0.3818
Accucheck,Quick result for test and easy to use.,1,8,0.2179570534938736,0.3833333333333333,0.6666666666666667,0.01038961038961039,0.0,0.4404
Accucheck,Easy to use,1,3,0.0,0.43333333333333335,0.8333333333333334,0.003896103896103896,0.0,0.4404
Accucheck,Dimly delivered and quality ie Good...,0,6,0.1991888229087734,0.39999999999999997,0.55,0.007792207792207792,1.0,0.4404
Accucheck,Well coordinate and on time service,0,6,0.5252131524856756,0.0,0.0,0.007792207792207792,1.0,0.2732
Accucheck,I like it,0,3,0.0,0.0,0.0,0.003896103896103896,1.0,0.3612
Accucheck,Packaging was good Delivery was on time. Overall satisfied as a customer.,0,12,0.460753266331494,0.39999999999999997,0.5333333333333333,0.014285714285714285,1.0,0.6908
Accucheck,You dont send the thing we ordered online Even after you dont try to replace and give original which I wanted No customer care service.,0,25,0.30645025454370745,0.375,0.75,0.03116883116883117,1.0,-0.367
