product,answer_option,review_score
shampoo,"I was diagnosed with Seborrheic Dermatitis a decade ago and had been recommended this shampoo for control and management of the condition. A decade later I started experiencing pimples on my forehead from dandruff fall-out and turned to this shampoo again I saw a decrease in pimples in just 3 washes. Would definitely recommend for short-term use, as the shampoo is high on chemicals Would suggets the use of a conditioned post wash as the shampoo is extremely drying",0.9904761904761905
shampoo,I've too much dandruff and acne on my scalp ...and I'm using this from last 1 month but I didn get better result till now,0.9809523809523809
shampoo,it is a best recommended anti dandruff shampoo I have used ever yes it is a bit costly but the results are good,0.9619047619047619
shampoo,This Shampoo is good quality n anti dandruff shampoo its working up to 80 percent,0.9619047619047619
shampoo,When I’m using in the beginning I get more hair fall bad after few days my problem was solved,0.9428571428571428
shampoo,I am using very offen last 6 yes its fantastic result on Dandruff free hair and smooth,0.9333333333333333
shampoo,At first the Dandruff disappears - - but it reappear if the shampoo is not used for about a week. Hence I am not fully convinced about its efficacy in eradicating dandruff fully,0.9333333333333333
shampoo,Amazing results in just 4 wash Definitely recommended,0.9333333333333333
shampoo,"Wash your head within 3 days for sometimes Or just someday in 2 days when you see more dandruff. its matter of few days you see your hair fall, but I didn see any of my hair falling Thankyou",0.9238095238095239
shampoo,its a great shampoo for dandruff,0.9047619047619048
shampoo,I ly this shampoo..n also remove dandruff frm hairs,0.8857142857142857
shampoo,Its really stops head itching n selfishness,0.8857142857142857
shampoo,Almost half a bottle is needed for one day use. donot foam..,0.8761904761904762
shampoo,Excellent outstanding product,0.8761904761904762
shampoo,The shampoo is working and the quantity of dandruff has reduced I am looking forward for complete protection and excited,0.8666666666666667
shampoo,It really helps to relieve dandruff and itching,0.8571428571428571
shampoo,Good for dandruff and scalpe problem,0.8380952380952381
shampoo,Quite effective and also doesn dry the hair on usage,0.8285714285714286
shampoo,Scalpe shampoo is effective on the DANDRUFF the basic necessity for which it is recommended The part which hurts is the Cost of the product which is too steep and there is no alternative hence it becomes a necessity,0.819047619047619
shampoo,This shampoo prescribed by doctor for my son to avoid dandruff and it works perfectly,0.8095238095238095
shampoo,"its a good conditioned but not effective on dandruff, my scaling is gone..good",0.8095238095238095
shampoo,It really does help but the bottle is only apt for three washes.,0.8095238095238095
shampoo,Its good product for hair and scalp,0.8
shampoo,My hair getting dry after using it . It has side effects and can whitish your hair. Consult doctor for recommendation.,0.8
shampoo,Always check my hair now see my hair no dandruff so happy,0.8
shampoo,Super sampoo for those person who has rainfall problem,0.780952380952381
shampoo,Liked it very nicely working now my scalp is anti dandruff..,0.780952380952381
shampoo,No solution my hair iam sorry no less of dandruff,0.7523809523809524
shampoo,Best in hair scalp problem just wash,0.7428571428571429
shampoo,Good shampoo.Helps to keep dandruff under control,0.7333333333333333
shampoo,I like it.use of it to reduce dandruff.,0.7238095238095238
shampoo,Good.. Plz launch in different flavors,0.7142857142857143
shampoo,After 2 to 3 usage it has cleared up my dandruff fully,0.7047619047619048
shampoo,Good working for dandruff and icthing...all problems are solved,0.6952380952380952
shampoo,Its good but it makes scalpe dry,0.6857142857142857
shampoo,Worked really well for fungal infection,0.6761904761904762
